scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported,avg_trip_speed,avg_trip_timeloss,avg_trip_speed_perc,avg_trip_timeloss_perc,teleported_perc
sumohighteleporttime,1,vehev1,kapustaimp,21907,28212.08,775.73,28266.00,53.919999999998254,-5.590967913262162,-459.0967913262162,False,28274.0,485,0.16,15839.08,-54.285714285714285,-301.09090909090907,-1839.9999999999998
sumohighteleporttime,1,vehev1,no-preemption,21907,5046.01,221.15,5100.00,53.98999999999978,,,False,,25,0.35,3949.00,,,
sumohighteleporttime,1,vehev1,tpnx,14368,4374.06,377.90,4428.00,53.9399999999996,1.104934545936727,9.49690154250421,False,1486.0,39,0.28,4836.45,-19.999999999999986,-22.834843651583792,-62.5
sumohighteleporttime,1,vehev1,tpnx,15239,4662.68,438.20,4717.00,54.31999999999971,1.0504774078427,4.805187381074871,False,1415.0,35,0.29,4772.42,-17.14285714285715,-20.99167938505535,-39.99999999999999
sumohighteleporttime,1,vehev1,kapustaimp,22737,32214.42,828.35,32269.00,54.580000000001746,-6.4790370266084745,-547.9037026608474,False,32277.0,535,0.17,16814.49,-51.42857142857142,-325.49801099268177,-2039.9999999999998
sumohighteleporttime,1,vehev1,kapustaimp,22760,30313.99,802.15,30368.00,54.0099999999984,-6.678885074843902,-567.8885074843902,False,30376.0,519,0.16,16404.48,-54.285714285714285,-319.64958596502,-1976.0000000000002
sumohighteleporttime,1,vehev1,kapustaimp,14368,29196.03,792.16,29250.00,53.970000000001164,-6.0409120534652025,-504.09120534652027,False,29258.0,495,0.17,16080.38,-51.42857142857142,-308.4051242456875,-1962.5
sumohighteleporttime,1,vehev1,tpnx,17651,4826.20,429.98,4880.00,53.80000000000018,1.0248725705524016,2.4268939638998455,False,1512.0,34,0.29,4745.90,-17.14285714285715,-21.016087370050297,-36.00000000000001
sumohighteleporttime,1,vehev1,no-preemption,27548,4838.96,216.78,4893.00,54.039999999999964,,,False,,25,0.35,3926.30,,,
sumohighteleporttime,1,vehev1,no-preemption,12811,4974.94,216.14,5029.00,54.0600000000004,,,False,,25,0.35,3922.82,,,
sumohighteleporttime,1,vehev1,tpnx,6479,4610.14,475.79,4664.00,53.85999999999967,1.0468228730580849,4.472855366763362,False,1485.0,29,0.29,4657.69,-17.14285714285715,-19.11610885348867,-15.999999999999993
sumohighteleporttime,1,vehev1,tpnx,12811,4399.92,477.93,4454.00,54.07999999999993,1.130688739795269,11.558330351722823,False,1315.0,32,0.29,4755.25,-17.14285714285715,-21.22019363621068,-28.000000000000004
sumohighteleporttime,1,vehev1,kapustaimp,31737,25160.90,719.89,25215.00,54.099999999998545,-5.061516549923356,-406.1516549923356,False,25223.0,439,0.16,15021.67,-54.285714285714285,-281.9256370228367,-1655.9999999999998
sumohighteleporttime,1,vehev1,no-preemption,27226,4972.87,214.18,5027.00,54.13000000000011,,,False,,25,0.35,3929.41,,,
sumohighteleporttime,1,vehev1,kapustaimp,30616,27165.67,772.28,27220.00,54.330000000001746,-5.710000504460269,-471.00005044602693,False,27220.0,474,0.16,15563.20,-54.285714285714285,-297.5731565569478,-1796.0
sumohighteleporttime,1,vehev1,no-preemption,30366,4833.05,218.67,4887.00,53.94999999999982,,,False,,25,0.35,3938.13,,,
sumohighteleporttime,1,vehev1,tpnx,32668,4394.10,389.29,4448.00,53.899999999999636,1.099353678796568,9.037462712211752,False,1390.0,33,0.28,4884.05,-19.999999999999986,-24.310875817658896,-32.00000000000001
sumohighteleporttime,1,vehev1,no-preemption,25029,4753.96,221.93,4808.00,54.039999999999964,,,False,,25,0.35,3940.65,,,
sumohighteleporttime,1,vehev1,kapustaimp,12811,34181.79,825.79,34236.00,54.20999999999913,-6.870794421641267,-587.0794421641267,False,34236.0,558,0.16,17314.58,-54.285714285714285,-341.38094534034195,-2132.0
sumohighteleporttime,1,vehev1,tpnx,30616,4681.82,408.89,4736.00,54.18000000000029,1.0161774694456431,1.5919925339880292,False,1329.0,35,0.28,4862.54,-19.999999999999986,-24.21708753241112,-39.99999999999999
sumohighteleporttime,1,vehev1,no-preemption,2094,4975.65,216.05,5030.00,54.350000000000364,,,False,,25,0.35,3925.18,,,
sumohighteleporttime,1,vehev1,kapustaimp,16250,27229.24,757.84,27284.00,54.7599999999984,-5.628190102955554,-462.8190102955554,False,27292.0,467,0.17,15524.90,-51.42857142857142,-295.85049121473975,-1768.0
sumohighteleporttime,1,vehev1,tpnx,31737,4659.16,434.87,4713.00,53.840000000000146,1.0669348122837594,6.2735615628181085,False,1389.0,32,0.29,4786.36,-17.14285714285715,-21.69310016933035,-28.000000000000004
sumohighteleporttime,1,vehev1,no-preemption,24847,4898.25,225.88,4952.00,53.75,,,False,,25,0.35,3937.60,,,
sumohighteleporttime,1,vehev1,tpnx,11718,4610.07,372.73,4664.00,53.93000000000029,1.0311839082703733,3.024087945929921,False,1381.0,36,0.29,4781.45,-17.14285714285715,-21.930352470763424,-50.0
sumohighteleporttime,1,vehev1,no-preemption,15239,4898.04,213.82,4952.00,53.960000000000036,,,False,,25,0.35,3944.42,,,
sumohighteleporttime,1,vehev1,kapustaimp,6325,27187.76,777.49,27242.00,54.2400000000016,-5.713430715530086,-471.34307155300854,False,27250.0,470,0.16,15517.85,-54.285714285714285,-295.6505554408214,-1858.3333333333333
sumohighteleporttime,1,vehev1,tpnx,21907,4396.14,400.79,4450.00,53.85999999999967,1.1478274122298198,12.878888468314564,False,1416.0,41,0.28,4926.58,-19.999999999999986,-24.755127880476067,-63.99999999999999
sumohighteleporttime,1,vehev1,kapustaimp,4771,29213.63,797.80,29268.00,54.36999999999898,-6.141639599297826,-514.1639599297827,False,29276.0,493,0.16,16166.78,-54.285714285714285,-312.54625163954086,-1872.0
