scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,1,vehev1,allgreen,16250,97.49,692.53,823.00,725.51,10.325777002769515,90.31549877813761,False
sp,1,vehev1,tpn4,30616,124.78,446.46,850.00,725.22,8.219746754287547,87.83417506776125,False
sp,1,vehev1,kapusta2,24847,106.72,527.51,834.00,727.28,9.579272863568216,89.56079428739118,False
sp,1,vehev1,no-preemption,20276,1295.04,124.29,2021.00,725.96,,,False
sp,1,vehev1,no-preemption,30616,1025.66,262.00,1751.00,725.3399999999999,,,False
sp,1,vehev1,fuzzy,6325,780.72,418.22,1305.00,524.28,1.6377958807254842,38.94233025198255,False
sp,1,vehev1,kapusta2,27226,168.35,529.79,895.00,726.65,6.097831897831898,83.60072864003429,False
sp,1,vehev1,allgreen,22570,102.05,690.82,827.00,724.95,10.03704066634003,90.03690397157027,False
sp,1,vehev1,allgreen,17651,97.83,673.79,824.00,726.17,10.466625779413269,90.4458225499292,False
sp,1,vehev1,no-preemption,22737,1007.15,354.85,1734.00,726.85,,,False
sp,1,vehev1,kapusta2,21907,117.78,399.64,845.00,727.22,8.572083545593479,88.33422475782969,False
sp,1,vehev1,no-preemption,11718,1277.79,124.49,2005.00,727.21,,,False
sp,1,vehev1,allgreen,30616,112.80,646.25,838.00,725.2,9.092730496453902,89.002203459236,False
sp,1,vehev1,allgreen,10105,100.97,575.36,826.00,725.03,9.980291175596712,89.98025225511309,False
sp,1,vehev1,tpn4,31737,124.95,414.63,852.00,727.05,8.072268907563025,87.61190922340204,False
sp,1,vehev1,kapusta2,25029,115.32,539.97,841.00,725.6800000000001,11.089316684009713,90.98231181870787,False
sp,1,vehev1,rfid,12811,650.36,900.09,1376.00,725.64,1.5521711052340244,35.57411314848385,False
sp,1,vehev1,allgreen,24847,113.92,645.53,841.00,727.08,8.97384129213483,88.85650004890933,False
sp,1,vehev1,fuzzy,30366,758.46,255.75,1281.00,522.54,1.3261213511589272,24.592119784054635,False
sp,1,vehev1,tpn4,30366,113.83,381.37,840.00,726.17,8.836071334446103,88.68275320388543,False
sp,1,vehev1,no-preemption,16993,1279.00,133.58,2005.00,726.0,,,False
sp,1,vehev1,tpn4,32668,123.90,491.50,851.00,727.1,10.466505246166262,90.44571252313386,False
sp,1,vehev1,kapusta2,16250,113.87,535.51,841.00,727.13,8.840432071660665,88.68833568434228,False
sp,1,vehev1,fuzzy,2094,1060.08,373.37,1582.00,521.9200000000001,-1.0506139681469955,-5.061396814699548,False
sp,1,vehev1,allgreen,4771,95.85,694.80,824.00,728.15,10.688158581116328,90.64385139488121,False
sp,1,vehev1,allgreen,15239,109.96,657.29,836.00,726.04,9.15523826846126,89.07729137487459,False
sp,1,vehev1,tpn4,16250,132.89,547.71,860.00,727.11,7.575137331627663,86.7989191981404,False
sp,1,vehev1,allgreen,20276,96.92,625.58,826.00,729.08,13.361947998349153,92.51606127996045,False
sp,1,vehev1,fuzzy,22737,1025.97,451.76,1550.00,524.03,-1.0186863922950902,-1.868639229509017,False
sp,1,vehev1,no-preemption,21907,1009.62,271.76,1735.00,725.38,,,False
sp,1,vehev1,rfid,27226,443.74,879.31,1171.00,727.26,2.3134493171677106,56.774501495270655,False
sp,1,vehev1,kapusta2,17651,117.46,499.16,843.00,725.54,8.717435722799252,88.52873675472436,False
sp,1,vehev1,kapusta2,30616,108.20,409.57,834.00,725.8,9.479297597042514,89.45069516213951,False
sp,1,vehev1,tpn4,25029,130.15,539.08,857.00,726.85,9.825739531310026,89.82264900455107,False
sp,1,vehev1,kapusta2,22570,117.37,552.10,842.00,724.63,8.726931924682628,88.54121919787558,False
sp,1,vehev1,fuzzy,30616,780.42,330.16,1306.00,525.58,1.314241049691192,23.910457656533367,False
sp,1,vehev1,no-preemption,27548,1008.89,353.70,1735.00,726.11,,,False
sp,1,vehev1,no-preemption,12811,1009.47,229.11,1735.00,725.53,,,False
sp,1,vehev1,allgreen,30366,98.22,637.41,824.00,725.78,10.240378741600487,90.23473618277806,False
sp,1,vehev1,allgreen,6325,100.53,706.38,827.00,726.47,12.719188301999404,92.13786307540707,False
sp,1,vehev1,tpn4,22737,136.28,529.17,862.00,725.72,7.390299383621954,86.46874844859256,False
sp,1,vehev1,rfid,22570,511.92,991.11,1239.00,727.0799999999999,2.0008595092983277,50.02147850197212,False
sp,1,vehev1,kapusta2,27548,120.41,505.14,847.00,726.59,8.378789137114858,88.06510124988849,False
sp,1,vehev1,allgreen,31737,106.23,591.75,832.00,725.77,9.494775487150521,89.4678920912525,False
sp,1,vehev1,no-preemption,27226,1026.57,356.17,1751.00,724.4300000000001,,,False
sp,1,vehev1,kapusta2,22737,120.62,540.61,846.00,725.38,8.349776156524623,88.02363103807774,False
sp,1,vehev1,rfid,14368,712.87,1080.20,1439.00,726.13,1.4137640804073675,29.26684063780598,False
sp,1,vehev1,kapusta2,32668,106.73,527.01,834.00,727.27,12.150285767825352,91.7697409006786,False
sp,1,vehev1,no-preemption,30366,1005.81,228.07,1734.00,728.19,,,False
sp,1,vehev1,no-preemption,25029,1278.82,321.89,2004.00,725.1800000000001,,,False
sp,1,vehev1,allgreen,6479,111.80,699.98,839.00,727.2,11.450805008944544,91.26698953288549,False
sp,1,vehev1,tpn4,16993,114.31,391.46,840.00,725.69,11.188872364622517,91.0625488663018,False
sp,1,vehev1,tpn4,15239,154.95,536.88,881.00,726.05,6.49699903194579,84.60827845158984,False
sp,1,vehev1,rfid,22737,690.94,1028.72,1419.00,728.06,1.4576518945205081,31.396514918333907,False
sp,1,vehev1,allgreen,27226,110.54,690.35,838.00,727.46,9.286864483444905,89.2321030226872,False
sp,1,vehev1,no-preemption,2094,1009.01,124.58,1735.00,725.99,,,False
sp,1,vehev1,rfid,22760,675.10,862.81,1400.00,724.9,1.5169308250629534,34.07741582688851,False
sp,1,vehev1,kapusta2,20276,117.61,434.94,843.00,725.39,11.011308562197092,90.91842723004694,False
sp,1,vehev1,rfid,31737,732.37,1114.57,1459.00,726.63,1.3772137034559033,27.389627514549442,False
sp,1,vehev1,fuzzy,22760,932.77,231.97,1460.00,527.23,1.0978912272049914,8.9162956019061,False
sp,1,vehev1,tpn4,27548,126.45,526.63,852.00,725.55,7.97856860419138,87.46642349512831,False
sp,1,vehev1,no-preemption,24847,1022.30,309.50,1751.00,728.7,,,False
sp,1,vehev1,rfid,30366,691.44,950.68,1418.00,726.56,1.4546598403332174,31.255406090613526,False
sp,1,vehev1,rfid,16250,732.93,1171.60,1461.00,728.07,1.3734735922939436,27.191901933125383,False
sp,1,vehev1,no-preemption,15239,1006.71,339.44,1734.00,727.29,,,False
sp,1,vehev1,allgreen,25029,109.10,733.68,835.00,725.9,11.72153987167736,91.46869770569744,False
sp,1,vehev1,rfid,16993,614.12,901.94,1341.00,726.88,2.082654855728522,51.98436278342455,False
sp,1,vehev1,kapusta2,12811,119.69,398.68,846.00,726.31,8.434037931322584,88.14328310895817,False
sp,1,vehev1,fuzzy,17651,1113.18,460.54,1640.00,526.8199999999999,-1.0871429269007276,-8.714292690072757,False
sp,1,vehev1,no-preemption,10105,1007.71,239.56,1734.00,726.29,,,False
sp,1,vehev1,allgreen,32668,111.85,691.49,838.00,726.15,11.594099240053643,91.37492288710672,False
sp,1,vehev1,tpn4,10105,152.09,384.82,878.00,725.91,6.625747912420278,84.90736422184955,False
sp,1,vehev1,fuzzy,24847,934.44,394.14,1461.00,526.56,1.0940242284148793,8.594346082363291,False
sp,1,vehev1,rfid,11718,625.19,852.65,1351.00,725.81,2.0438426718277642,51.07255495816996,False
sp,1,vehev1,fuzzy,15239,780.01,414.10,1304.00,523.99,1.2906372995218012,22.518898193124137,False
sp,1,vehev1,tpn4,11718,133.50,407.96,860.00,726.5,9.571460674157303,89.55227384781537,False
sp,1,vehev1,allgreen,22737,102.16,681.46,829.00,726.84,9.85855520751762,89.85652584024226,False
sp,1,vehev1,kapusta2,22760,121.25,342.30,848.00,726.75,8.4460206185567,88.16010467932193,False
sp,1,vehev1,fuzzy,12811,756.42,290.06,1281.00,524.58,1.3345363686840646,25.067609735801966,False
sp,1,vehev1,tpn4,24847,113.04,528.60,839.00,725.96,9.043701344656757,88.94258045583489,False
sp,1,vehev1,fuzzy,25029,755.06,394.08,1280.00,524.94,1.6936667284719096,40.95650677968753,False
sp,1,vehev1,no-preemption,22570,1024.28,343.11,1751.00,726.72,,,False
sp,1,vehev1,tpn4,17651,117.03,494.33,844.00,726.97,8.74946594890199,88.57073099272425,False
sp,1,vehev1,fuzzy,6479,875.43,426.82,1402.00,526.57,1.4623670653278962,31.617715981877836,False
sp,1,vehev1,rfid,2094,737.90,940.58,1464.00,726.1,1.3674075077923837,26.86891111089087,False
sp,1,vehev1,no-preemption,6479,1280.20,316.93,2004.00,723.8,,,False
sp,1,vehev1,rfid,24847,944.89,1120.23,1671.00,726.11,1.0819248801447787,7.572141250122266,False
sp,1,vehev1,fuzzy,21907,755.04,247.96,1281.00,525.96,1.3371741894469167,25.215427586616745,False
sp,1,vehev1,no-preemption,17651,1023.95,342.53,1751.00,727.05,,,False
sp,1,vehev1,no-preemption,14368,1007.83,347.99,1734.00,726.17,,,False
sp,1,vehev1,no-preemption,32668,1296.80,336.36,2022.00,725.2,,,False
sp,1,vehev1,kapusta2,31737,108.17,432.81,835.00,726.83,9.324489229915873,89.27555198635774,False
sp,1,vehev1,fuzzy,11718,487.03,224.96,1011.00,523.97,2.623637147608977,61.884973274168686,False
sp,1,vehev1,allgreen,11718,97.26,590.79,824.00,726.74,13.13787785317705,92.38842063249831,False
sp,1,vehev1,rfid,21907,794.43,989.49,1520.00,725.57,1.270873456440467,21.313959707612774,False
sp,1,vehev1,fuzzy,4771,770.05,426.12,1295.00,524.95,1.3303811440815532,24.833570856841657,False
sp,1,vehev1,tpn4,4771,117.47,527.48,845.00,727.53,8.72103515791266,88.53347129219296,False
sp,1,vehev1,rfid,32668,725.07,1043.18,1450.00,724.93,1.7885169707752353,44.0877544725478,False
sp,2,vehev1,rfid,20276,523.77,1286.09,1250.00,726.23,2.4725356549630564,59.55568939955522,False
sp,2,vehev1,kapusta2,11718,255.06,802.27,982.00,726.94,5.009762408844978,80.0389735402531,False
sp,2,vehev1,tpn4,22570,150.13,775.74,876.00,725.87,6.822620395657097,85.34287499511852,False
sp,2,vehev1,kapusta2,15239,235.07,702.96,963.00,727.9300000000001,4.282596673331349,76.64968064288622,False
sp,2,vehev1,rfid,30616,694.60,1247.16,1420.00,725.4,1.476619637201267,32.27775286157206,False
sp,2,vehev1,tpn4,6325,110.33,783.89,837.00,726.67,11.58941357744947,91.37143572177123,False
sp,2,vehev1,fuzzy,16250,1037.69,618.69,1563.00,525.31,-1.0308247074483938,-3.082470744839383,False
