scenario,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
augmented-downtown,vehev7,no-preemption,24847,6887.12,42051.20,7536.00,648.8800000000001,,,False
augmented-downtown,vehev1,rfid,11718,29210.40,91586.41,30089.00,878.5999999999985,-1.0384000113756746,-3.8400011375674614,False
augmented-downtown,vehev2,kapusta2,17651,1227.35,12246.51,1723.00,495.6500000000001,-1.1169810977330021,-11.698109773300214,False
augmented-downtown,vehev7,rfid,10105,6751.46,48157.29,7401.00,649.54,1.02749331255758,2.6757655958991378,False
augmented-downtown,vehev7,allgreen,2094,4393.22,32294.12,5041.00,647.7799999999997,1.495424768165491,33.129367569139056,False
augmented-downtown,vehev3,kapusta2,16993,12525.28,87441.25,13187.00,661.7199999999993,1.0330196211182505,3.1964176132982303,False
augmented-downtown,vehev1,tpn4,11718,27127.96,121123.74,28006.00,878.0400000000009,1.0369449085003075,3.5628612665391746,False
augmented-downtown,vehev2,tpn4,20276,231.81,33315.25,727.00,495.19,5.0914110694102925,80.35907950925235,False
augmented-downtown,vehev3,rfid,17651,13815.00,82647.74,14477.00,662.0,-1.1634340632271463,-16.34340632271463,False
augmented-downtown,vehev1,tpn3,20276,25635.35,67304.84,26513.00,877.6500000000015,1.090391978264389,8.289860900138745,False
augmented-downtown,vehev3,allgreen,11718,1175.23,35859.68,1837.00,661.77,10.639772640249143,90.6013029243021,False
augmented-downtown,vehev1,kapusta2,22760,27219.58,66158.77,28098.00,878.4199999999983,1.076459298784184,7.102850880710642,False
augmented-downtown,vehev7,no-preemption,22760,9259.50,46796.75,9909.00,649.5,,,False
augmented-downtown,vehev2,fuzzy,10105,1235.95,29871.80,1584.00,348.04999999999995,-1.2381663177086986,-23.816631770869854,False
augmented-downtown,vehev2,rfid,22760,681.65,14666.73,1177.00,495.35,1.729318565246094,42.1737544431154,False
augmented-downtown,vehev7,tpn4,21907,6397.74,43187.66,7048.00,650.2600000000002,1.1655381431568024,14.202722075525598,False
augmented-downtown,vehev3,kapusta2,21907,12668.31,95708.39,13331.00,662.6900000000005,-1.0416125029908216,-4.161250299082164,False
augmented-downtown,vehev1,fuzzy,12811,29976.39,117143.00,30604.00,627.6100000000006,-1.0690226750681948,-6.902267506819482,False
augmented-downtown,vehev7,fuzzy,17651,7621.86,33042.94,8084.00,462.1400000000003,1.026757248230747,2.6059955531702927,False
augmented-downtown,vehev3,fuzzy,24847,14087.00,48248.59,14557.00,470.0,-1.3271568300481797,-32.715683004817976,False
augmented-downtown,vehev7,tpn4,16993,7010.08,48941.62,7658.00,647.9200000000001,1.2406819893638876,19.399168475661366,False
augmented-downtown,vehev7,rfid,30616,11392.65,51551.87,12040.00,647.3500000000004,1.0899035781841802,8.248764384640594,False
augmented-downtown,vehev2,kapusta2,20276,1036.87,15320.86,1532.00,495.1300000000001,1.1382719145119446,12.147529316071315,False
augmented-downtown,vehev1,tpn4,24847,26688.12,118609.36,27566.00,877.880000000001,1.0405667390584274,3.898523519513508,False
augmented-downtown,vehev1,tpn3,6479,22862.16,79534.18,23740.00,877.8400000000001,1.0690188503623455,6.456280012176729,False
augmented-downtown,vehev3,rfid,2094,11975.89,76016.92,12638.00,662.1100000000006,1.0597149773419763,5.635003620667522,False
augmented-downtown,vehev3,fuzzy,30616,14601.24,49243.97,15070.00,468.7600000000002,-1.1511369665701947,-15.11369665701947,False
augmented-downtown,vehev2,no-preemption,17651,1098.81,12368.40,1594.00,495.19000000000005,,,False
augmented-downtown,vehev3,tpn3,22760,1125.14,36089.17,1787.00,661.8599999999999,9.979904722967808,89.97986425963973,False
augmented-downtown,vehev1,tpn4,17651,26531.99,119342.11,27410.00,878.0099999999984,1.0230114665353032,2.2493850057455855,False
augmented-downtown,vehev2,no-preemption,31737,1268.63,16972.69,1764.00,495.3699999999999,,,False
augmented-downtown,vehev7,kapusta2,24847,7695.79,43674.27,8345.00,649.21,-1.1174177304882158,-11.74177304882158,False
