scenario,ev,step,lon,lat
cologne,vehev1,25200,6.949588565481818,50.918827712300406
cologne,vehev1,25201,6.949548713505397,50.918767602341575
cologne,vehev1,25202,6.949518228487738,50.918706545396944
cologne,vehev1,25203,6.9494954989686955,50.91866102145328
cologne,vehev1,25204,6.949482835480599,50.91863565827631
cologne,vehev1,25205,6.949480351094543,50.91863068239884
cologne,vehev1,25206,6.94948013666965,50.91863025293575
cologne,vehev1,25207,6.949480042265875,50.918630063858174
cologne,vehev1,25208,6.949426354789332,50.918529259464755
cologne,vehev1,25209,6.949407706042695,50.918496796933205
cologne,vehev1,25210,6.949380466176757,50.91844937945249
cologne,vehev1,25211,6.949342634130496,50.91838352359018
cologne,vehev1,25212,6.949294030216316,50.91829814108007
cologne,vehev1,25213,6.949238978933819,50.918199535771194
cologne,vehev1,25214,6.949180145025329,50.91809531402109
cologne,vehev1,25215,6.949122927367876,50.91799395492651
cologne,vehev1,25216,6.9490616754079735,50.91788544869806
cologne,vehev1,25217,6.949004593259825,50.91778432870894
cologne,vehev1,25218,6.948941312855282,50.917676141515486
cologne,vehev1,25219,6.948873981914996,50.917574807016635
cologne,vehev1,25220,6.948806088069552,50.91747396042714
cologne,vehev1,25221,6.948734798837288,50.91737005902841
cologne,vehev1,25222,6.948658018937531,50.91727102489363
cologne,vehev1,25223,6.948583166884488,50.917175044659324
cologne,vehev1,25224,6.948440191820351,50.91699598949159
cologne,vehev1,25225,6.948407328445208,50.91695870151683
cologne,vehev1,25226,6.948380291961963,50.91692169377818
cologne,vehev1,25227,6.94829804817598,50.91679122373781
cologne,vehev1,25228,6.9482415991146045,50.916695367818974
cologne,vehev1,25229,6.948182008908497,50.91659464679445
cologne,vehev1,25230,6.9481248842799594,50.91649809273066
cologne,vehev1,25231,6.948066093493253,50.91639872203094
cologne,vehev1,25232,6.948009851907161,50.91630235757284
cologne,vehev1,25233,6.947952162543704,50.916202708724676
cologne,vehev1,25234,6.947896462230102,50.9161064952105
cologne,vehev1,25235,6.9478372196691,50.91600416256809
cologne,vehev1,25236,6.947781477919669,50.91590787662543
cologne,vehev1,25237,6.947725444427415,50.915811082413455
cologne,vehev1,25238,6.947667758885576,50.915708258764546
cologne,vehev1,25239,6.947608389092547,50.915602432470926
cologne,vehev1,25240,6.947553043651805,50.91550377911192
cologne,vehev1,25241,6.947498465963771,50.91540649384964
cologne,vehev1,25242,6.947439462774209,50.915301319613924
cologne,vehev1,25243,6.947340709824891,50.915132593066545
cologne,vehev1,25244,6.947309194764897,50.915080272895175
cologne,vehev1,25245,6.947279916371293,50.91503166584676
cologne,vehev1,25246,6.947154556574395,50.915032498097624
cologne,vehev1,25247,6.9470772922318105,50.915050433545346
cologne,vehev1,25248,6.946750197562493,50.915126250983285
cologne,vehev1,25249,6.946587267362398,50.915166071024245
cologne,vehev1,25250,6.946437918124896,50.91520257162488
cologne,vehev1,25251,6.946280088988195,50.91524114442111
cologne,vehev1,25252,6.946120293049805,50.915280197611175
cologne,vehev1,25253,6.945965768166492,50.91531796231406
cologne,vehev1,25254,6.945803038912472,50.91535773181321
cologne,vehev1,25255,6.945646762231481,50.9153959240848
cologne,vehev1,25256,6.945488087747548,50.91543470207249
cologne,vehev1,25257,6.945324487014907,50.91547468367602
cologne,vehev1,25258,6.9451688185448015,50.91551609397583
cologne,vehev1,25259,6.945016721300757,50.91556691085255
cologne,vehev1,25260,6.94486496101591,50.91562227808845
cologne,vehev1,25261,6.944625692081563,50.91571058588191
cologne,vehev1,25262,6.944471804030727,50.915771071849115
cologne,vehev1,25263,6.944330757537584,50.91583295472201
cologne,vehev1,25264,6.9441829168933165,50.91589781810387
cologne,vehev1,25265,6.944036046145963,50.91596225558632
cologne,vehev1,25266,6.94389312257272,50.916024960949066
cologne,vehev1,25267,6.943747820858694,50.91608870932554
cologne,vehev1,25268,6.943605347256947,50.916151216572466
cologne,vehev1,25269,6.943456774820255,50.91621639918495
