scenario,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
cologne,vehev2,allgreen,6479,39.54,3603.48,403.00,363.46,37.86165907941325,97.35880565111385,False
cologne,vehev6,no-preemption,15239,1529.59,9473.91,1987.00,457.4100000000001,,,False
cologne,vehev3,no-preemption,14368,2216.01,10497.10,2673.00,456.9899999999998,,,False
cologne,vehev2,allgreen,11718,45.39,3847.56,409.00,363.61,22.231989424983478,95.50197698962452,False
cologne,vehev4,tpn3,17651,339.51,3854.41,871.00,531.49,2.146947070778475,53.42223319751409,False
cologne,vehev3,no-preemption,24847,1922.71,13043.18,2380.00,457.28999999999996,,,False
cologne,vehev3,kapusta2,22570,3966.94,14901.34,4424.00,457.05999999999995,-1.8814395340675185,-88.14395340675185,False
cologne,vehev4,kapusta2,25029,276.29,3062.25,807.00,530.71,2.647978573238264,62.23534396741432,False
cologne,vehev2,no-preemption,22760,1400.52,9601.91,1764.00,363.48,,,False
cologne,vehev4,kapusta2,27226,413.30,4620.65,945.00,531.7,1.9944592305831113,49.86109594691317,False
cologne,vehev3,no-preemption,10105,2507.88,15678.01,2965.00,457.1199999999999,,,False
cologne,vehev6,kapusta2,6325,137.44,4610.34,595.00,457.56,9.71704016298021,89.70880038337414,False
cologne,vehev1,kapusta2,11718,2949.87,17892.26,3481.00,531.1300000000001,6.185567499584727,83.83333461210898,False
cologne,vehev5,no-preemption,4771,1769.80,6607.53,2133.00,363.20000000000005,,,False
cologne,vehev5,allgreen,22570,22.37,2563.53,386.00,363.63,87.86186857398302,98.86184983744346,False
cologne,vehev1,kapusta2,15239,19579.81,26710.71,20111.00,531.1899999999987,-1.0786846970728687,-7.868469707286874,False
cologne,vehev3,kapusta2,27548,2155.63,12864.88,2613.00,457.3699999999999,-1.0217466524469725,-2.174665244697249,False
cologne,vehev4,kapusta2,10105,458.50,4146.75,990.00,531.5,1.7974918211559432,44.36692349693624,False
cologne,vehev5,no-preemption,22737,1769.48,7804.19,2133.00,363.52,,,False
cologne,vehev4,kapusta2,22737,493.61,4688.49,1025.00,531.39,1.6713397216425923,40.16775960920739,False
cologne,vehev3,kapusta2,32668,3491.94,17807.00,3949.00,457.05999999999995,-1.4026502994541137,-40.26502994541137,False
cologne,vehev5,tpn3,17651,169.65,3239.46,533.00,363.35,8.262835249042146,87.89761661875174,False
cologne,vehev5,no-preemption,20276,1111.29,5751.10,1475.00,363.71000000000004,,,False
cologne,vehev6,allgreen,30366,36.58,4117.65,494.00,457.42,144.12137780207763,99.30614041077702,False
cologne,vehev5,no-preemption,15239,1299.63,6057.97,1663.00,363.3699999999999,,,False
cologne,vehev6,tpn3,6325,44.58,4378.42,502.00,457.42,29.957604306864067,96.6619493676573,False
cologne,vehev6,kapusta2,16250,182.00,4211.49,639.00,457.0,12.088956043956044,91.72798712838437,False
cologne,vehev2,tpn3,22760,130.77,4223.08,494.00,363.23,10.709795824730442,90.66275383429013,False
cologne,vehev5,no-preemption,14368,1788.63,6414.11,2152.00,363.3699999999999,,,False
cologne,vehev6,allgreen,15239,24.31,4688.89,482.00,457.69,62.92019744960921,98.4106852162998,False
cologne,vehev1,no-preemption,16250,4001.95,16080.77,4533.00,531.0500000000002,,,False
