scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
turin,2,vehev6,kapustaimp,25029,6487.53,27108.04,7481.00,993.4700000000003,4.048471452155135,75.29931946370358,False,1224.1818181818182,61544
turin,2,vehev2,rfid,30366,107.06,3319.05,949.00,841.94,3.2171679432094153,68.91676102546236,False,211.31578947368422,2541
turin,2,vehev5,kapusta2,4771,864.66,8328.97,1707.00,842.34,1.35246223949298,26.060782268132932,False,525.8421052631579,14357
turin,2,vehev4,no-preemption,27226,8487.21,29088.64,9232.00,744.7900000000009,,,False,,68838
turin,2,vehev4,fuzzy,30616,11852.70,43576.96,12350.00,497.2999999999993,-1.1893542424686374,-18.93542424686374,False,52.65714285714286,79320
turin,2,vehev2,rfid,10105,138.27,3327.75,981.00,842.73,2.501627251030592,60.02601908065914,False,211.31578947368422,2517
turin,2,vehev6,kapusta2,22760,8165.50,35865.25,9158.00,992.5,1.6662200722552203,39.98391829198737,False,2388.060606060606,69420
turin,2,vehev5,kapustaimp,11718,829.87,8239.71,1672.00,842.13,1.1662911058358538,14.258113176356325,False,183.89473684210526,14068
turin,2,vehev6,kapustaimp,6325,6694.74,33124.04,7688.00,993.2600000000002,3.2087280461974625,68.8350029792939,False,1359.8181818181818,61498
turin,2,vehev3,rfid,16993,3977.73,14292.33,4972.00,994.27,1.201851307152572,16.795031627564516,False,238.33333333333334,22035
turin,2,vehev1,kapusta2,30366,1553.71,8267.18,2299.00,745.29,1.057829324648744,5.466791598724718,False,364.3142857142857,8180
turin,2,vehev6,kapusta2,22737,11932.53,37647.62,12927.00,994.4699999999993,1.2395560706740314,19.32595679546536,False,2079.212121212121,81202
turin,2,vehev2,fuzzy,22737,252.86,2801.81,815.00,562.14,1.3736850431068575,27.203109255793866,False,41.78947368421053,2166
turin,2,vehev4,allgreen,2094,3041.15,17444.94,3785.00,743.8499999999999,2.6869144895845323,62.782589327782205,False,3787.7714285714287,35848
turin,2,vehev4,rfid,20276,9146.65,35840.73,9891.00,744.3500000000004,-1.3667076580096735,-36.67076580096735,False,265.1714285714286,71081
turin,2,vehev2,no-preemption,27226,353.05,3641.55,1196.00,842.95,,,False,,3212
turin,2,vehev5,fuzzy,31737,2368.19,13890.73,2929.00,560.81,-2.7260682383276547,-172.60682383276546,False,41.78947368421053,26276
turin,2,vehev2,allgreen,17651,77.63,3069.14,919.00,841.37,4.414788097385032,77.34885620915033,False,920.7368421052631,2541
turin,2,vehev1,tpn4,12811,86.11,2880.21,830.00,743.89,30.051678086168852,96.67239880204811,False,456.0857142857143,2298
turin,2,vehev4,no-preemption,12811,,20818.58,,,,,True,,50020
turin,2,vehev2,fuzzy,30366,206.65,2611.84,768.00,561.35,1.666731187999032,40.00232267804778,False,41.78947368421053,2040
turin,2,vehev3,no-preemption,30616,7132.13,16557.18,8126.00,993.8699999999999,,,False,,32601
turin,2,vehev3,no-preemption,4771,6677.66,19685.27,7671.00,993.3400000000001,,,False,,31103
turin,2,vehev3,rfid,25029,9466.06,25392.05,10460.00,993.9400000000005,-1.4826789548949553,-48.26789548949553,False,238.33333333333334,35005
turin,2,vehev4,rfid,10105,9551.36,35985.12,10296.00,744.6399999999994,1.0768665404717235,7.13798206025158,False,265.1714285714286,73118
turin,2,vehev5,allgreen,2094,265.78,6013.01,1108.00,842.22,8.321506509142901,87.9829451686267,False,1111.3157894736842,9853
