scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
augmented-downtown,1,vehev3,allgreen,12811,842.24,38749.74,1504.00,661.76,13.992650550911854,92.85339116873155,False,1509.2608695652175,111317
augmented-downtown,1,vehev1,kapusta2,6325,30105.75,100944.76,30984.00,878.25,-1.0840906414754357,-8.409064147543566,False,9532.145454545454,266787
augmented-downtown,1,vehev1,no-preemption,22760,29300.77,69680.58,30179.00,878.2299999999996,,,False,,266117
augmented-downtown,1,vehev2,no-preemption,27548,1001.45,18720.47,1497.00,495.54999999999995,,,False,,111204
augmented-downtown,1,vehev2,tpn6,15239,213.55,40342.52,709.00,495.45,5.098150316085226,80.3850428488762,False,226.46666666666667,75090
augmented-downtown,1,vehev2,kapusta2,10105,3211.82,24706.30,3707.00,495.17999999999984,-3.217579467246371,-221.75794672463712,False,533.8666666666667,170976
augmented-downtown,1,vehev1,fuzzy,27548,28973.71,107573.70,29602.00,628.2900000000009,-1.0137551442273038,-1.375514422730384,False,46.76923076923077,266118
augmented-downtown,1,vehev1,fuzzy,20276,31253.60,113101.19,31883.00,629.4000000000015,-1.1180935713268685,-11.809357132686849,False,46.03921568627451,268177
augmented-downtown,1,vehev3,kapusta2,25029,11971.46,85496.45,12634.00,662.5400000000009,1.0281628138923742,2.7391395129100826,False,2961.782608695652,246216
augmented-downtown,1,vehev1,kapustaimp,15239,25128.13,111550.00,26006.00,877.869999999999,1.1301911443469927,11.51939165318936,False,3081.109090909091,263824
augmented-downtown,1,vehev3,no-preemption,6325,13494.38,100553.31,14156.00,661.6200000000008,,,False,,251433
augmented-downtown,1,vehev2,tpn6,32668,219.45,35892.64,715.00,495.55,4.964137616769197,79.85551414566083,False,227.53333333333333,76059
augmented-downtown,1,vehev2,rfid,27226,1115.14,21989.23,1610.00,494.8599999999999,1.1362429829438454,11.990655607030376,False,142.0,115516
augmented-downtown,1,vehev2,fuzzy,22760,1140.95,25226.64,1490.00,349.04999999999995,1.0331653446689162,3.2100713443446227,False,28.714285714285715,110774
augmented-downtown,1,vehev7,tpn6,20276,6165.28,59066.31,6816.00,650.7200000000003,1.166818052059274,14.296835034807954,False,1260.3720930232557,222155
augmented-downtown,1,vehev3,allgreen,32668,1202.01,42675.39,1864.00,661.99,10.103534912355139,90.10247394922001,False,1868.9130434782608,124876
augmented-downtown,1,vehev1,no-preemption,6325,27770.51,104553.83,28648.00,877.4900000000016,,,False,,263925
augmented-downtown,1,vehev1,fuzzy,32668,28272.55,112036.36,28900.00,627.4500000000007,1.0199295783365845,1.9540151359359381,False,46.62264150943396,266626
augmented-downtown,1,vehev1,fuzzy,22570,26304.09,105662.55,26935.00,630.9099999999999,-1.002450094894016,-0.24500948940160416,False,46.03921568627451,265150
augmented-downtown,1,vehev2,no-preemption,24847,1000.69,14774.48,1496.00,495.30999999999995,,,False,,111184
augmented-downtown,1,vehev1,tpn4,14368,19580.24,91711.35,20458.00,877.7599999999984,1.1884731749968334,15.85842902994724,False,7833.072727272727,261683
augmented-downtown,1,vehev7,no-preemption,30366,6983.55,43178.39,7632.00,648.4499999999998,,,False,,231552
augmented-downtown,1,vehev2,kapusta2,25029,1961.06,18920.34,2456.00,494.94000000000005,-1.545723969417514,-54.5723969417514,False,513.0,142909
augmented-downtown,1,vehev7,tpn4,31737,6385.82,38864.64,7035.00,649.1800000000003,1.284323704708244,22.138009573905126,False,1998.5348837209303,227271
augmented-downtown,1,vehev1,tpn4,20276,24281.04,120535.70,25159.00,877.9599999999991,1.1512101623324207,13.134887727716016,False,8328.472727272727,264322
augmented-downtown,1,vehev3,fuzzy,22570,13954.95,110974.69,14424.00,469.0499999999993,-1.1241037546247108,-12.41037546247108,False,29.894736842105264,251018
augmented-downtown,1,vehev1,fuzzy,27226,28018.91,99249.24,28645.00,626.0900000000001,-1.0358107993206709,-3.5810799320670883,False,46.76923076923077,265077
augmented-downtown,1,vehev3,kapustaimp,31737,417.90,25683.70,1080.00,662.1,31.607083034218714,96.83615220386717,False,100.26086956521739,93267
augmented-downtown,1,vehev2,fuzzy,20276,1075.59,24554.11,1425.00,349.4100000000001,1.0972954378527136,8.866840642581176,False,28.714285714285715,108107
augmented-downtown,1,vehev1,tpn6,30366,31764.03,155656.92,32642.00,877.9700000000012,-1.17811192942907,-17.811192942907006,False,8615.945454545454,267126
augmented-downtown,1,vehev2,rfid,11718,783.97,16399.27,1279.00,495.03,1.3967753868132708,28.40652767504086,False,142.0,102142
augmented-downtown,1,vehev1,allgreen,27548,27678.45,105883.59,28557.00,878.5499999999993,1.0325932268606082,3.156443990989688,False,28558.254545454547,264833
augmented-downtown,1,vehev2,fuzzy,25029,1240.56,16741.01,1589.00,348.44000000000005,1.0226833043141808,2.2180184440766193,False,28.714285714285715,114434
augmented-downtown,1,vehev7,rfid,16993,8642.25,54795.55,9291.00,648.75,1.0063675547455815,0.6327265535891802,False,184.06976744186048,238045
augmented-downtown,1,vehev2,no-preemption,10105,998.21,16515.31,1494.00,495.78999999999996,,,False,,110778
