scenario,ev,step,lon,lat
ny,vehev1,1800,-73.91558409407374,40.68577442245431
ny,vehev1,1801,-73.91570191799028,40.6857616869271
ny,vehev1,1802,-73.91582070487495,40.68574884718617
ny,vehev1,1803,-73.91594734471867,40.6857351584741
ny,vehev1,1804,-73.91607304644377,40.68572157102153
ny,vehev1,1805,-73.9162029096347,40.68570753359448
ny,vehev1,1806,-73.91631911398403,40.68569497247659
ny,vehev1,1807,-73.91643846860791,40.68568207070251
ny,vehev1,1808,-73.91656198030968,40.685668719428854
ny,vehev1,1809,-73.91668606406094,40.68565530617941
ny,vehev1,1810,-73.9168119666157,40.6856416961781
ny,vehev1,1811,-73.91693468599635,40.685628430138465
ny,vehev1,1812,-73.91706062400523,40.685614816021676
ny,vehev1,1813,-73.91718053580128,40.68560185321574
ny,vehev1,1814,-73.91729849850806,40.68558910098512
ny,vehev1,1815,-73.91741654816659,40.68557633986709
ny,vehev1,1816,-73.91753486050082,40.68556355037772
ny,vehev1,1817,-73.91765413924512,40.685550656292016
ny,vehev1,1818,-73.91777469542859,40.68553661815329
ny,vehev1,1819,-73.91789404092576,40.68552137068956
ny,vehev1,1820,-73.91801174293886,40.68550633306771
ny,vehev1,1821,-73.91813853951135,40.685490133381705
ny,vehev1,1822,-73.91826702585195,40.685473717658304
ny,vehev1,1823,-73.91838656585112,40.68545844480488
ny,vehev1,1824,-73.91851440354621,40.68544211166333
ny,vehev1,1825,-73.91864398535263,40.685425555532866
ny,vehev1,1826,-73.91876910036505,40.685409569959916
ny,vehev1,1827,-73.91889335274206,40.685393694461126
ny,vehev1,1828,-73.9190162180347,40.68537799604821
ny,vehev1,1829,-73.91913759638845,40.685363358989626
ny,vehev1,1830,-73.91926620726379,40.68534899191082
ny,vehev1,1831,-73.91939320256735,40.685334805159975
ny,vehev1,1832,-73.91952371074908,40.68532022583035
ny,vehev1,1833,-73.91965025305366,40.68530608938944
ny,vehev1,1834,-73.9197800983441,40.68529158381072
ny,vehev1,1835,-73.91990057102582,40.68527812515003
ny,vehev1,1836,-73.92001631400485,40.68526519474638
ny,vehev1,1837,-73.92013440537401,40.68525200186365
ny,vehev1,1838,-73.92026051303753,40.68523791328037
ny,vehev1,1839,-73.92037908779108,40.68522466613252
ny,vehev1,1840,-73.92050010048598,40.68521111437565
ny,vehev1,1841,-73.92061739661635,40.685197934354015
ny,vehev1,1842,-73.92074449284841,40.685183634483295
ny,vehev1,1843,-73.92086487509863,40.68517008988207
ny,vehev1,1844,-73.92098890525624,40.68515613470544
ny,vehev1,1845,-73.9211095978895,40.68514255491442
