scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,1,veh11651,petri_lc!True,32556,105.31,,844.00,738.69,12.194188586079195,91.79937235724242,False
sp,1,veh11651,rfid_dd!250_nc!2,25029,794.06,,1364.00,569.94,1.3753368763065763,27.290541159234504,False
sp,1,veh11651,djahel_wc!start_el!medium,16993,633.46,,1373.00,739.54,1.5974173586335363,37.39895246565865,False
sp,1,veh11651,petri_lc!True,19226,102.30,,935.00,832.7,9.89090909090909,89.88970588235294,False
sp,1,veh11651,djahel_wc!start_el!high,20156,557.55,,1101.00,543.45,1.9232355842525335,48.00428984426001,False
sp,1,veh11651,rfid_dd!1000_nc!5,6426,447.96,,1167.00,719.04,2.2678364139655325,55.90510877054828,False
sp,1,veh11651,petri_lc!False,27226,183.38,,763.00,579.62,5.90964118224452,83.07849886039624,False
sp,1,veh11651,djahel_wc!start_el!low,27422,490.59,,1397.00,906.4100000000001,2.6146069018936386,61.753332813596316,False
sp,1,veh11651,rfid_dd!250_nc!2,30366,699.49,,1447.00,747.51,1.5381492230053326,34.98680199271321,False
sp,1,veh11651,djahel_wc!start_el!medium,25627,464.23,,1194.00,729.77,2.16567218835491,53.82495996498802,False
sp,1,veh11651,rfid_dd!250_nc!5,12087,632.02,,1392.00,759.98,1.6857377931078132,40.6787933397158,False
sp,1,veh11651,rfid_dd!1000_nc!5,20276,317.50,,1031.00,713.5,3.2153070866141733,68.89877162392493,False
sp,1,veh11651,rfid_dd!1000_nc!5,31475,359.80,,1117.00,757.2,3.71053362979433,73.0496985131643,False
sp,1,veh11651,djahel_wc!start_el!medium,21866,920.80,,1644.00,723.2,1.196459600347524,16.420078061178188,False
sp,1,veh11651,rfid_dd!1000_nc!2,18736,443.97,,1101.00,657.03,2.293263058314751,56.39401261123225,False
sp,1,veh11651,allgreen,20276,106.73,,821.00,714.27,9.564883350510634,89.54508943439845,False
sp,1,veh11651,no-preemption,21181,1014.19,,1827.00,812.81,,,False
sp,1,veh11651,djahel_wc!start_el!medium,2646,635.72,,1374.00,738.28,1.5639275152582899,36.058417654040355,False
sp,1,veh11651,no-preemption,13518,1037.14,,1666.00,628.8599999999999,,,False
sp,1,veh11651,djahel_wc!start_el!high,21181,783.82,,1372.00,588.18,1.293906764308132,22.71467870911762,False
sp,1,veh11651,rfid_dd!1000_nc!2,6479,357.20,,1007.00,649.8,2.868952967525196,65.14407829896857,False
sp,1,veh11651,djahel_wc!start_el!medium,27548,234.96,,1112.00,877.04,5.5836312563840655,82.09050787770688,False
sp,1,veh11651,allgreen,2094,99.68,,869.00,769.3199999999999,10.572331460674155,90.54134838923945,False
sp,1,veh11651,djahel_wc!start_el!medium,21552,484.36,,1393.00,908.64,2.6402056321744154,62.12416230714493,False
sp,1,veh11651,rfid_dd!250_nc!5,11718,672.57,,1342.00,669.43,1.4984908634045526,33.26619304651531,False
sp,1,veh11651,allgreen,11340,102.34,,791.00,688.66,10.217217119405902,90.21259910293315,False
sp,1,veh11651,rfid_dd!1000_nc!2,8189,351.23,,1017.00,665.77,2.8754092759730088,65.22234214252472,False
sp,1,veh11651,petri_lc!True,30616,109.52,,849.00,739.48,9.237125639152666,89.1741214847032,False
sp,1,veh11651,djahel_wc!start_el!low,8189,708.72,,1373.00,664.28,1.4250056439778755,29.824839345301157,False
sp,1,veh11651,petri_lc!True,18736,355.00,,1013.00,658.0,2.868,65.13249651324965,False
sp,1,veh11651,petri_lc!True,10944,110.40,,726.00,615.6,9.499999999999998,89.47368421052632,False
sp,1,veh11651,rfid_dd!250_nc!5,31737,574.06,,1452.00,877.94,2.2855799045395955,56.24742770909867,False
sp,1,veh11651,djahel_wc!start_el!low,19226,563.41,,1397.00,833.59,1.7959212651532632,44.31827166350411,False
sp,1,veh11651,djahel_wc!start_el!high,12087,732.50,,1281.00,548.5,1.4544982935153585,31.247770832160093,False
sp,1,veh11651,rfid_dd!250_nc!2,15239,622.07,,1393.00,770.93,1.6927194688700626,40.923465559976826,False
sp,1,veh11651,rfid_dd!250_nc!5,12811,624.05,,1393.00,768.95,1.6935822450124192,40.95356142608434,False
sp,1,veh11651,rfid_dd!250_nc!2,8189,435.74,,1101.00,665.26,2.3177353467664203,56.85443545592268,False
sp,1,veh11651,djahel_wc!start_el!low,227,992.02,,1643.00,650.98,1.1226084151529203,10.921743815381857,False
sp,1,veh11651,rfid_dd!1000_nc!5,10944,266.81,,885.00,618.19,3.930887148157865,74.56045003813882,False
sp,1,veh11651,allgreen,16250,105.52,,812.00,706.48,9.723275208491282,89.71539961013644,False
sp,1,veh11651,djahel_wc!start_el!medium,16250,666.28,,1373.00,706.72,1.5398931380200518,35.060428849902536,False
sp,1,veh11651,rfid_dd!250_nc!2,6426,716.45,,1435.00,718.55,1.4179635703817433,29.47632641007972,False
sp,1,veh11651,rfid_dd!250_nc!5,5031,914.18,,1644.00,729.82,1.0987661073311603,8.988819974713035,False
sp,1,veh11651,allgreen,18736,118.95,,778.00,659.05,8.559394703656999,88.3169308739466,False
sp,1,veh11651,allgreen,10280,105.72,,888.00,782.28,9.881290200529701,89.8798640693055,False
sp,1,veh11651,djahel_wc!start_el!medium,17651,776.19,,1403.00,626.81,1.3380229067625193,25.262863965490666,False
sp,1,veh11651,rfid_dd!250_nc!2,31475,904.87,,1663.00,758.13,1.4754053068396564,32.22201415677315,False
sp,1,veh11651,djahel_wc!start_el!high,2094,1007.68,,1566.00,558.32,1.045818116862496,4.381078901171886,False
sp,1,veh11651,rfid_dd!1000_nc!2,16993,362.00,,1102.00,740.0,2.795303867403315,64.22571400336001,False
sp,1,veh11651,djahel_wc!start_el!high,22737,703.42,,1282.00,578.58,1.4579340934292457,31.40979386469568,False
sp,1,veh11651,djahel_wc!start_el!high,10280,448.90,,1011.00,562.1,2.32713299175763,57.02866988943667,False
sp,1,veh11651,petri_lc!False,10944,110.40,,726.00,615.6,9.499999999999998,89.47368421052632,False
sp,1,veh11651,no-preemption,31737,1312.06,,2188.00,875.94,,,False
