scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime
oneintersection,1,vehev1,fuzzy,6479,1955.66,216.32,2065.00,109.33999999999992,-1.0111995863495347,-1.1199586349534663,False,30.0
oneintersection,1,vehev1,rfid,2094,1685.37,172.27,1836.00,150.6300000000001,1.0609183740068946,5.742041565065659,False,150.0
oneintersection,1,vehev1,no-preemption,6479,1934.00,196.47,2084.00,150.0,,,False,
oneintersection,1,vehev1,rfid,24847,1821.22,198.49,1972.00,150.77999999999997,1.063715531347119,5.989903265436746,False,150.0
oneintersection,1,vehev1,fuzzy,21907,1808.11,172.86,1917.00,108.8900000000001,-1.0053042139032675,-0.5304213903267518,False,30.0
oneintersection,1,vehev1,no-preemption,17651,1945.49,198.65,2096.00,150.51,,,False,
oneintersection,1,vehev1,no-preemption,14368,1949.32,176.21,2100.00,150.68000000000006,,,False,
oneintersection,1,vehev1,no-preemption,32668,1941.62,191.06,2092.00,150.3800000000001,,,False,
oneintersection,1,vehev1,kapusta2,31737,1567.08,179.17,1717.00,149.92000000000007,1.140158766623274,12.292916629354355,False,716.0
oneintersection,1,vehev1,fuzzy,11718,2105.17,202.52,2214.00,108.82999999999993,-1.0073065696923298,-0.730656969232979,False,30.0
oneintersection,1,vehev1,allgreen,11718,428.10,108.88,578.00,149.89999999999998,4.881803316982014,79.51576630460788,False,585.0
oneintersection,1,vehev1,rfid,21907,1798.57,174.98,1949.00,150.43000000000006,-1.0,0.0,False,150.0
oneintersection,1,vehev1,fuzzy,4771,1807.88,182.27,1917.00,109.11999999999989,-1.0081133979802936,-0.8113397980293646,False,30.0
oneintersection,1,vehev1,rfid,32668,1840.30,208.36,1991.00,150.70000000000005,1.0550562408302995,5.21832284381084,False,150.0
oneintersection,1,vehev1,kapustaimp,32668,539.46,123.51,690.00,150.53999999999996,3.599191784376969,72.21598459018756,False,697.0
