scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime
turinkap,1,vehev1,no-preemption,27548,4500.99,19546.53,5245.00,744.0100000000002,,,False,
turinkap,1,vehev3,fuzzy,10105,13196.09,54506.19,13859.00,662.9099999999999,1.1949312258403815,16.313175321306762,False,47.303030303030305
turinkap,1,vehev5,rfid,27548,1064.59,13889.96,1907.00,842.4100000000001,1.0030528184559313,0.3043527120167866,False,211.31578947368422
turinkap,1,vehev4,fuzzy,21907,5314.93,34803.53,5813.00,498.0699999999997,1.0824714530577073,7.618810900254813,False,52.65714285714286
turinkap,1,vehev4,fuzzy,14368,4580.67,23208.37,5077.00,496.3299999999999,1.186516382974543,15.71966351673585,False,53.03030303030303
turinkap,1,vehev3,rfid,21907,9542.79,48169.29,10536.00,993.2099999999991,1.3235626059045624,24.446339331521838,False,238.33333333333334
turinkap,1,vehev5,rfid,32668,955.24,14000.77,1797.00,841.76,-1.1123350838990649,-11.233508389906488,False,211.31578947368422
turinkap,1,vehev1,no-preemption,12811,4701.96,19518.37,5446.00,744.04,,,False,
turinkap,1,vehev2,no-preemption,30366,853.56,7495.27,1695.00,841.44,,,False,
turinkap,1,vehev6,kapustaimp,22570,590.09,12305.73,1584.00,993.91,11.990357403108,91.65996503372959,False,201.15151515151516
turinkap,1,vehev5,kapusta2,20276,1133.23,15262.47,1975.00,841.77,-1.0634067150873636,-6.340671508736362,False,489.1578947368421
turinkap,1,vehev3,kapusta2,30366,6659.82,42662.60,7654.00,994.1800000000003,2.0825352637158363,51.98160542954191,False,1314.909090909091
turinkap,1,vehev2,fuzzy,4771,1324.14,6804.96,1886.00,561.8599999999999,-1.379226298356353,-37.922629835635306,False,42.333333333333336
turinkap,1,vehev4,kapusta2,27548,3486.85,28714.50,4231.00,744.1500000000001,1.1336765275248433,11.791417064680642,False,1224.5428571428572
turinkap,1,vehev1,allgreen,30366,1908.41,12401.14,2653.00,744.5899999999999,2.5648524164094715,61.01140191918346,False,2656.3714285714286
turinkap,1,vehev6,rfid,30366,3430.97,30477.58,4425.00,994.0300000000002,-1.1419703571060067,-14.19703571060067,False,238.33333333333334
turinkap,1,vehev5,allgreen,4771,103.11,7556.77,945.00,841.89,10.360682765978082,90.34812644506641,False,950.3684210526316
turinkap,1,vehev3,no-preemption,22570,12534.43,38312.04,13530.00,995.5699999999997,,,False,
turinkap,1,vehev6,kapustaimp,14368,641.97,12261.25,1634.00,992.03,9.828854930915774,89.82587486509145,False,208.87878787878788
turinkap,1,vehev1,allgreen,6325,1148.78,8924.26,1892.00,743.22,4.815996100210659,79.23586358476788,False,1894.2
turinkap,1,vehev5,kapustaimp,27548,248.86,9360.60,1092.00,843.14,4.290926625411878,76.69501048846269,False,114.6842105263158
turinkap,1,vehev5,kapustaimp,16250,213.88,8201.52,1056.00,842.12,3.1113241069758746,67.85934330152529,False,109.10526315789474
turinkap,1,vehev2,fuzzy,17651,1391.90,8985.48,1954.00,562.0999999999999,-2.0882467668857085,-108.82467668857086,False,41.78947368421053
turinkap,1,vehev3,allgreen,16250,8041.04,33420.35,9035.00,993.96,1.4761983524519215,32.25842595346149,False,9038.151515151516
turinkap,1,vehev6,allgreen,12811,1574.62,19356.75,2568.00,993.3800000000001,2.6854098131612707,62.76173584013244,False,2570.7272727272725
turinkap,1,vehev2,no-preemption,22737,1069.27,7909.19,1912.00,842.73,,,False,
turinkap,1,vehev5,kapustaimp,10105,115.84,8536.71,958.00,842.16,5.744302486187845,82.59144600402752,False,93.3157894736842
turinkap,1,vehev1,kapustaimp,31737,3134.71,16811.97,3879.00,744.29,1.6656373316829947,39.962921040585755,False,419.37142857142857
turinkap,1,vehev4,no-preemption,6325,4689.11,28622.12,5433.00,743.8900000000003,,,False,
turinkap,1,vehev3,allgreen,27226,9301.21,42210.75,10295.00,993.7900000000009,1.214920424331888,17.69008241425175,False,10297.727272727272
turinkap,1,vehev4,kapusta2,30366,3575.21,29396.92,4319.00,743.79,1.459600974488212,31.48812466704226,False,1134.5142857142857
turinkap,1,vehev6,rfid,30616,5411.02,37542.43,6405.00,993.9799999999996,-1.087004210593983,-8.7004210593983,False,238.33333333333334
turinkap,1,vehev5,fuzzy,15239,1439.43,11316.59,2001.00,561.5699999999999,-1.6805954465849389,-68.05954465849389,False,41.833333333333336
turinkap,1,vehev2,rfid,6479,548.08,6926.24,1391.00,842.92,1.5574003795066413,35.79043557721596,False,211.31578947368422
turinkap,1,vehev4,kapustaimp,14368,6570.19,28126.67,7313.00,742.8100000000004,-1.2088577084989254,-20.885770849892538,False,1177.057142857143
turinkap,1,vehev6,no-preemption,21907,2534.26,25434.42,3529.00,994.7399999999998,,,False,
turinkap,1,vehev6,allgreen,31737,2014.41,29451.80,3009.00,994.5899999999999,2.180256253692148,54.133831823366954,False,3011.909090909091
turinkap,1,vehev4,kapustaimp,17651,3042.42,26566.58,3787.00,744.5799999999999,1.853583660375622,46.05045235469147,False,465.8
turinkap,1,vehev1,rfid,22570,3849.25,22088.86,4593.00,743.75,1.0266675326362278,2.5974847541688884,False,265.1714285714286
turinkap,1,vehev2,kapusta2,30366,1050.77,8742.76,1892.00,841.23,-1.2310440976615586,-23.104409766155865,False,550.8947368421053
turinkap,1,vehev6,no-preemption,11718,3114.18,31511.41,4108.00,993.8200000000002,,,False,
turinkap,1,vehev4,no-preemption,20276,4926.22,33158.21,5670.00,743.7799999999997,,,False,
turinkap,1,vehev5,no-preemption,6325,1169.11,13479.33,2011.00,841.8900000000001,,,False,
turinkap,1,vehev6,kapusta2,11718,1777.27,21266.99,2772.00,994.73,1.7522267297596876,42.92976000102755,False,990.9090909090909
turinkap,1,vehev3,no-preemption,12811,12345.18,61764.28,13339.00,993.8199999999997,,,False,
turinkap,1,vehev6,no-preemption,4771,4134.68,21415.84,5129.00,994.3199999999997,,,False,
turinkap,1,vehev6,rfid,22760,5054.53,39974.60,6049.00,994.4700000000003,-1.3993366721205727,-39.933667212057266,False,238.33333333333334
turinkap,1,vehev6,no-preemption,22760,3612.09,29292.21,4606.00,993.9099999999999,,,False,
turinkap,1,vehev4,kapustaimp,20276,6092.07,38082.52,6836.00,743.9300000000003,-1.2366621872348371,-23.666218723483713,False,1131.6285714285714
turinkap,1,vehev3,no-preemption,25029,9543.05,29853.21,10538.00,994.9500000000007,,,False,
turinkap,1,vehev1,kapusta2,27548,3365.17,16588.51,4110.00,744.8299999999999,1.337522324280794,25.234892768035465,False,1149.0857142857142
turinkap,1,vehev2,allgreen,20276,87.77,4779.65,930.00,842.23,10.950210778170218,90.86775569659765,False,932.6842105263158
turinkap,1,vehev4,kapusta2,16993,3761.50,31669.51,4506.00,744.5,-1.0052809655400963,-0.5280965540096272,False,1255.8285714285714
turinkap,1,vehev6,kapustaimp,15239,525.15,12778.11,1519.00,993.85,6.645358469008855,84.95190282565527,False,192.9090909090909
turinkap,1,vehev6,allgreen,14368,2675.07,21686.84,3670.00,994.9299999999998,2.358753228887468,57.60472152181595,False,3673.3939393939395
turinkap,1,vehev6,rfid,22737,3197.98,23437.66,4192.00,994.02,-1.4635796141031743,-46.35796141031743,False,238.33333333333334
turinkap,1,vehev1,allgreen,31737,3698.98,18502.52,4444.00,745.02,1.4115485890705004,29.155821645608647,False,4447.371428571429
turinkap,1,vehev2,kapusta2,27226,655.89,7209.84,1497.00,841.11,1.299409962036317,23.04199373437995,False,400.42105263157896
turinkap,1,vehev2,rfid,22737,548.08,6308.47,1391.00,842.92,1.9509378192964528,48.74260009165131,False,211.31578947368422
turinkap,1,vehev5,kapusta2,24847,542.78,11296.93,1384.00,841.22,2.728232433029957,63.34623150530445,False,406.57894736842104
turinkap,1,vehev6,kapustaimp,6479,580.75,12615.62,1574.00,993.25,6.996745587602239,85.70764096708143,False,207.75757575757575
turinkap,1,vehev3,kapustaimp,2094,1976.25,20860.74,2970.00,993.75,4.582699557242251,78.17880078087043,False,317.1818181818182
turinkap,1,vehev6,rfid,27548,2103.19,29612.22,3097.00,993.81,2.7022047461237455,62.993181718207005,False,238.33333333333334
turinkap,1,vehev1,no-preemption,27226,4064.45,18595.58,4809.00,744.5500000000002,,,False,
turinkap,1,vehev5,rfid,22737,755.45,10909.98,1597.00,841.55,1.2731881659937785,21.457014233284465,False,211.31578947368422
turinkap,1,vehev1,kapusta2,22737,4248.41,20451.83,4994.00,745.5900000000001,1.0793214402564724,7.349195271950093,False,1508.2
turinkap,1,vehev5,rfid,20276,855.76,13827.90,1698.00,842.24,1.245279050200991,19.696713773623863,False,211.31578947368422
turinkap,1,vehev5,kapustaimp,22737,86.67,8801.57,928.00,841.33,11.09761163032191,90.9890521193974,False,89.42105263157895
turinkap,1,vehev1,kapustaimp,30616,7353.06,25972.85,8098.00,744.9399999999996,-1.134395364336493,-13.439536433649302,False,1293.5142857142857
turinkap,1,vehev2,kapustaimp,31737,155.73,5176.37,997.00,841.27,6.182110062287292,83.82429316326319,False,101.6842105263158
turinkap,1,vehev4,no-preemption,10105,5007.09,33267.07,5751.00,743.9099999999999,,,False,
turinkap,1,vehev3,fuzzy,11718,11929.14,58461.54,12593.00,663.8600000000006,-1.1854280220408122,-18.54280220408122,False,47.303030303030305
