scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime
colognekap,1,vehev5,kapustaimp,14368,75.62,4693.82,439.00,363.38,151.59177466278763,99.34033360172445,False,96.4074074074074
colognekap,1,vehev5,kapustaimp,2094,252.54,12938.84,616.00,363.46000000000004,75.46341173675457,98.67485450632898,False,146.03703703703704
colognekap,1,vehev4,fuzzy,24847,867.75,4749.82,1222.00,354.25,-1.1910317471210727,-19.103174712107275,False,39.04
colognekap,1,vehev2,kapusta2,16993,2065.74,19070.86,2429.00,363.2600000000002,-1.866559441949562,-86.65594419495619,False,771.4074074074074
colognekap,1,vehev3,rfid,27226,1047.68,7280.09,1505.00,457.31999999999994,3.199240226023213,68.74257857019255,False,221.45833333333334
colognekap,1,vehev3,rfid,16250,991.92,7167.48,1449.00,457.08000000000004,2.035325429470119,50.867807893485505,False,221.45833333333334
colognekap,1,vehev5,allgreen,20276,26.54,4576.18,390.00,363.46,312.73474001507157,99.68024019334987,False,392.5925925925926
colognekap,1,vehev3,fuzzy,15239,1691.49,8273.42,1997.00,305.51,1.6363442881719668,38.88816630898961,False,44.291666666666664
colognekap,1,vehev3,fuzzy,2094,1383.42,8301.49,1689.00,305.5799999999999,1.4529933064434517,31.176558380180087,False,44.291666666666664
colognekap,1,vehev4,allgreen,11718,393.78,4308.73,925.00,531.22,1.8506526486870842,45.96500857632934,False,927.1538461538462
colognekap,1,vehev3,kapustaimp,22570,1604.53,9694.43,2062.00,457.47,1.3140670476712808,23.900382269523735,False,250.33333333333334
colognekap,1,vehev3,rfid,24847,1079.25,7431.98,1536.00,456.75,1.781524206624971,43.868290069745306,False,221.45833333333334
colognekap,1,vehev5,allgreen,30616,26.94,11245.47,391.00,364.06,119.98775055679286,99.16658159240457,False,393.5925925925926
colognekap,1,vehev1,rfid,4771,4882.60,15842.65,5414.00,531.3999999999996,1.2794883873346166,21.843761154943863,False,202.69230769230768
colognekap,1,vehev6,rfid,31737,1143.94,7467.93,1601.00,457.05999999999995,1.1675612357291465,14.351387370659307,False,221.45833333333334
colognekap,1,vehev6,no-preemption,25029,3163.18,7953.96,3620.00,456.82000000000016,,,False,
colognekap,1,vehev2,no-preemption,12811,1301.61,16742.92,1665.00,363.3900000000001,,,False,
colognekap,1,vehev6,kapusta2,2094,254.63,4149.94,712.00,457.37,9.769155244865098,89.76370039235866,False,232.66666666666666
colognekap,1,vehev6,kapustaimp,17651,185.85,3048.70,643.00,457.15,4.604035512510089,78.27992426898534,False,102.16666666666667
colognekap,1,vehev5,kapusta2,22760,766.62,10950.27,1130.00,363.38,18.712204221126502,94.65589415237903,False,231.37037037037038
colognekap,1,vehev6,rfid,4771,1248.42,5304.70,1706.00,457.5799999999999,1.0065122314605661,0.6470096693326877,False,221.45833333333334
colognekap,1,vehev6,kapusta2,10105,266.47,3473.09,724.00,457.53,5.013172214508199,80.05255041695986,False,234.125
colognekap,1,vehev3,no-preemption,20276,2782.73,11734.42,3240.00,457.27,,,False,
colognekap,1,vehev1,rfid,6479,13653.33,34611.62,14185.00,531.6700000000001,-1.7955315975939168,-79.55315975939168,False,202.69230769230768
colognekap,1,vehev5,kapusta2,32668,1081.17,11993.40,1445.00,363.8299999999999,2.1782420895881316,54.091420564319236,False,357.7037037037037
