scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
cologne,2,vehev3,rfid,6325,1294.31,15326.39,1752.00,457.69000000000005,5.932102819262773,83.14257135340284,False,221.45833333333334,9201
cologne,2,vehev3,rfid,15239,1165.48,10807.09,1623.00,457.52,2.401242406562103,58.354891731580075,False,221.45833333333334,7948
cologne,2,vehev4,kapusta2,6325,452.50,5563.17,984.00,531.5,1.6106740331491713,37.91419123801161,False,230.03846153846155,4246
cologne,2,vehev1,allgreen,25029,1795.35,20329.19,2327.00,531.6500000000001,19.30718244353469,94.82058035694966,False,2328.9615384615386,13760
cologne,2,vehev2,kapusta2,15239,582.33,6443.31,946.00,363.66999999999996,,,False,316.48148148148147,4407
cologne,2,vehev2,kapusta2,31737,1502.97,11414.25,1867.00,364.03,1.1180728823595947,10.560392280547237,False,539.7407407407408,10021
cologne,2,vehev4,kapustaimp,30366,364.04,5022.13,895.00,530.96,2.274035820239534,56.025318902203324,False,78.76923076923077,3785
cologne,2,vehev5,no-preemption,10105,26504.04,52435.50,26868.00,363.9599999999991,,,False,,97276
cologne,2,vehev4,no-preemption,16993,637.60,6154.33,1169.00,531.4,,,False,,4872
cologne,2,vehev4,allgreen,17651,223.17,4613.28,755.00,531.83,3.2641484070439577,69.36413804464212,False,758.9615384615385,3337
cologne,2,vehev6,allgreen,30616,263.91,4394.32,721.00,457.09,14.884051381152664,93.28139916752588,False,722.0416666666666,3232
cologne,2,vehev1,kapustaimp,6325,4044.16,21690.91,4576.00,531.8400000000001,8.711349204779237,88.52072191697495,False,765.3461538461538,32010
cologne,2,vehev6,kapusta2,30616,141.68,4707.33,599.00,457.32,27.7248023715415,96.39312126882295,False,210.54166666666666,2767
cologne,2,vehev2,kapusta2,24847,619.83,6619.19,983.00,363.16999999999996,2.236855266766694,55.294380693415654,False,330.25925925925924,4743
cologne,2,vehev3,kapustaimp,21907,2487.87,20556.50,2945.00,457.1300000000001,-1.2393123648790012,-23.931236487900122,False,423.4583333333333,18253
cologne,2,vehev6,tpn4,22570,38.74,3608.76,496.00,457.26,96.72070211667527,98.9660951811602,False,152.45833333333334,2293
cologne,2,vehev5,tpn4,25029,52.23,2744.30,416.00,363.77,46.8207926479035,97.86419677359996,False,138.7037037037037,2071
cologne,2,vehev5,kapusta2,6325,205.74,3914.39,569.00,363.26,260.3567609604355,99.61591164511685,False,221.5185185185185,2471
cologne,2,vehev6,kapusta2,21907,156.21,4026.80,613.00,456.78999999999996,71.85423468407912,98.60829357601999,False,199.45833333333334,2651
cologne,2,vehev2,fuzzy,16993,4860.38,28019.26,5103.00,242.6199999999999,-5.326735711545838,-432.6735711545838,False,40.74074074074074,35525
